,0
56,i9y6kb-Firinova
57,gf1l4m-Geyik-Cafe-Bistro
58,a5pdbo-Gonul-Kahvesi
59,uzlnom-Deniz-Cafe
60,ngef5u-Eyup-Sultan-Bosnak-Borekcisi
61,t8qrxv-Hamlet-Balik
62,w0ubdx-Doors-Cafe-Konya
63,8wdckm-Ekmekchi-Firin-cafe
64,94oedz-Dogan-Et-Steak-House
65,eef8of-Firezza-Cafe-Bistro
66,5gpa3t-Istanbul-Kafe
67,yyhfxx-Cansu-Yufka
68,slur3g-Demlik
69,5tdcn2-Eski-Balikci
70,obmsw7-Endulus-Cafe
71,jj0qia-Kofteci-Halit
72,7qyvxw-Guven-Kahvalti-SteakHouse
73,cg56xk-Dream-Hill-Business-Deluxe-Restaurant-Bistro
74,ohcsfy-Dogus-Otomotiv-yemekhane
75,44u14x-Hanimeli-Cafe-Restaurant
76,im838t-Cici-Meyhane
77,puc6d7-Dodo-Flat-Bistro
78,vdajh6-kofteci-metin
79,ki7tvd-Crystal-Restaurant
80,ckbl8o-Fiero-Cafe
81,rkv3gx-Evinpark-Rezidans-Sosyal-Tesis
82,uxtysc-Dikkat-Doner
83,mzrqq0-Cafe-Yaren
84,r1k8hp-Cheffinn-Unilever-Food-Solition
85,od1m2d-cezikler-gida-cafe
86,ftkzfb-Colina-Cafe-Bar
87,1m6a3o-Haci-Ahmet-Cafe-Restaurant
88,25bddu-Cigo-Cafe
89,g6t1s0-fiko-cay-ocagi
90,m7dynd-Halk-Mini-Market
91,wrbzzv-Gunce-Unlu-Mamuller
92,ypei5f-havuz-cafe
93,ojqopg-ER-YEMEK
94,xjmocd-Elmali-Restaurant
95,y82no4-Dogapark-Restaurant
96,t6tiru-Incesu-Unlu-Mamulleri
97,co0mwd-Dosto
98,5nmk4b-Ceylan-Cafe
99,yrlqx3-Hanci-Pastane-Bistro
100,dze9vo-Hipodrom-Kafeterya
101,3iac0s-Candan-Etliekmek-Izzet-Ustanin-Yeri
102,1bh37e-Kofteci-Aciktim-Dayi
103,6f6dgj-Hanimeli-Cafe
104,dbpiok-Edo-kokorec
105,stanj1-Cafe-Tastan
106,bgmylh-istinye-sahin-tepesi
107,u1nfqy-Girne-Restaurant-Best-Western-Premier
108,5gexn3-Josseph-Cafe-Food-Point
109,g535r0-Firin-Arma
110,kelz4f-Kosem-Bufe-Ayse-Ablanin-Yeri
111,tvywrn-Caffe-Di-Fiore
112,avxfki-Gozde-Unlu-Mamulleri
113,4ci0cl-cavhir-mecifiye-koy
114,vacv76-Etevim-Steakhouse
115,1bh6t2-Fethiye-spor-kompleksi-Cafe
116,jr7fjs-Dogal-Firin
117,ru8bvl-Gol-kenari-sariyer
118,5equpb-Kofteci-BeDo
119,2szvdq-ESILA-CAFE-RESTORAN
120,cgg4vu-firincibasi
121,ih22q0-Kosem-Cafe
122,h78j1f-Koftebus
123,c4ejvc-DD-KAHVE
124,sz7ay8-Isik-Is-Merkezi
125,rimily-Isotlar-Renault-Yemekhane
126,aqlpy3-Ekmekhane-Unlumamulleri
127,ezq7ud-Happy-Moons
128,11v5g5-Defne-Cafe-Bistro
129,h27czs-Dimcayi-Aktepe-Restuarant
130,g2mnuq-Flatofis-Food-Court
131,jlze8y-Kose-Kafe
132,xrvafu-Denizalti-Cafe-Bistro
133,vfp60b-Cankardesler-Komurde-Sandvic-Kumru
134,iabnaj-CAFEDEYIZ
135,xnix45-Kosem-Kebap-Yemek-Lavinya-Cafe-Sirket-Ortakligi
136,vg9obb-Dodi-Cig-Borek
137,cne1np-Erdemler-Bufe
138,6p6a2w-C-P-Steak-House-Celik-Palas-Hotel
139,c3rhnk-Gedikli-Cafe-Market
140,54o2sj-Deste-Nargile-Cafe
141,90s4kv-Cakmak
142,5s8nqz-Elite-Kebap
143,qnff2x-Empatti-Cafe
144,1w6d0j-Degirmen-Patisserie-Cafe-Restaurant
145,ivrdzk-Deniz-Harp-Okulu-Gazinosu
146,m66jlc-Jorgoseferis
147,jjy7ye-Goztepe-Medical-Park-Doruk-Yemek
148,2xxe40-Ipekyolu-Cafe
149,xp50rp-Hub-Kanyon
150,mwsnop-Durumcu-Sedat-Usta
151,vr6jxq-Deniz-Cafe-Beach
152,3amh3s-Geleneksel-Basinkoy-Kermesi
153,vcss5n-Goksu-Nargile-Cafe
154,kj5q28-Doyuran-Peron-Cafe
155,kxyjzk-Ikbal-Fasyfood
156,xzkjlr-eat-stop
157,zlmhtt-Istanbul-Borekcisi
158,u69qrm-Darlik-Gozleme-Evi
159,izwj2u-Ceyar-Kasap
160,41yavo-haracci-merkez-cay-bahcesi
161,4xu7em-Cha-Cha-Lounge
162,oh1ua4-FLZ-Firin
163,7udh79-Coffee-Factory
164,ahy6l3-Cigerci-Cuneyt
165,xgc3mw-Edem-Dondurma-Kafe
166,7odka5-eyup-bir-nefes-cafe
167,c0kiv6-Hopdaddy-Burger
168,1kz7is-Donerci-Mustafa
169,67rq5n-Capella-Cafe-Kavanyum
170,thk6bs-Itimat-Cafe
171,7t5i5b-cafemarina
172,yqquah-Cigerci-bayram-usta
173,tfoz31-Deniz-Cafe-Restaurant
174,6ykj20-Dumanli-Cafe
175,zu72qu-FarkliBirYer
176,2easlu-Derya-Deniz-Restaurant
177,ede37m-Doga-cafe
178,bxws48-Hacialioglu-Cig-Kofte
179,wkufch-Deniz-Cay-Evi
180,gcwgny-Henry-Jones
181,nw44cn-Ibo-Bakkal
182,br7u1g-Firinburger-Gorukle
183,g1z670-Deepness
184,7q3al5-Incek-Ada-Garden-Restoran-Kir-Bahcesi
185,iqkeib-Jolly-People
186,7xpm4j-Gocmen-Borekcisi-Ucyol
187,quc0v7-Gastro-Sanayi
188,80unsa-Durumcu-Sulo
189,0pghga-Cigkofteci-Mehmet-in-Yeri
190,xh5whw-ekmek-teknesi
191,9fdgjq-Ege-Cafe-Eglence-Dunyasi
192,4q93dm-CafemixRestaurantPatisserie
193,0g3k10-Doyum-Restoran
194,sqatqb-Caka-Cafe
195,sk75zb-gulhane-tip-akademisi-pastane-Kecioren-Etlik
196,8dyg7u-CSO-Sanatci-Kafeteryasi
197,nrjpj4-Guverte-Cafe
198,erjlb1-inpatio-cafe
199,86rxln-Focaccia
200,n6427y-Hasan-Ustanin-Yeri
201,vkjx42-INCIRALTI
202,zn7jej-hakan-cafe
203,md1nxe-Emek-Manti
204,gl5z3m-Catii-Cafem
205,5rh8n6-Evreka-Cafe
206,pxuz48-Damla-Kebap-doner-salonu
207,hqz2kb-Cilali-Meyhane
208,k9lydy-Ceylan-Firin
209,1930v4-Hacialioglu-Cigkofte-Alemdar
210,78zv2e-Hatay-Tadim-Kestel
211,kr6wvn-Gedikli-Unlu-Mamuller
212,v8dfq1-Guven-CAFE
213,lulyh6-ekus-steak-house
214,hhuq0s-Filizce
215,rkeo0h-Cumhurbaskanligi-Muhafiz-Alayi-Sosyal-Tesisleri
216,3wtfze-Dedeoglu-Unlu-Mamulleri
217,qsqdyx-Islamoglu-Ekmek-Firini
218,35aq3u-Firin-Istanbul
219,vx4r0l-Hayal-Kapisi-Cafe
220,ase2m8-el-emegi-unlu-mamulleri
221,rfq0fx-Cafe-University
222,rict7c-huseyin-gazi-cafeteras
223,0ar6oh-Derun
224,z57msq-Istasyon-Cafe
225,3iw9dn-Dinc-Basak-Unlu-Mamuller
226,cdt79n-Hazel-Kahvalti-Evi
227,5ml535-Elizinn
228,fs18vv-Fincan-Cafe
229,zlzdw7-Gulumse-Kafe
230,xqynm7-Can-Cafe
231,p9z6rk-Cafedrall
232,xd84j2-Everes-Dondurma
233,8n8vbr-cafe-shazz-bistro
234,9p6381-hilal-restorant
235,wgg1eq-Evin-Cafe
236,d3zzed-Kosk-Restorant
237,riicmo-Kofteci-Mert
238,uqjmn6-Inci-Borek
239,qeqdi5-Golet-Mangal-Restaurant-Kucukcekmece
240,i0z73h-Inci-Doner
241,kgpsgy-Dragos-sosyal-tesisler
242,4e4t5t-Fatmanin-Mutfa
243,y1c0zt-Faik-Bey-Konagi
244,bq5fev-Etiler-Bahce-Cafe
245,qkfdu4-Has-Antalya-Kasabi
246,wnooj3-Erzurum-Sark-Sofrasi
247,x8q5sh-Corolla-otel-restoran
248,szvh84-Ikizler-Pasta-Cafe
249,9ombf4-Efendi-Cafe
250,n31ome-Erzurum-Nargile
251,ehtp1x-Hemso-Doner
252,fbh7e7-Doner-Dunyasi
253,u57eeb-Kosebasi-Sofra
254,6i4gil-EsNaf-Cafe
255,2wvc3z-Dag-restaurant-torbali
256,zewa9t-diskapi-cocuk-hastanesi-yesimcan-cafe
257,4wazzz-CafeDEM
258,h9nb51-Cafe-Red-Nargile
259,nbq7ef-Istanbul-Halic-Restaurant
260,e2rvxo-Evim-Cafe
261,zffdi0-Inci-Pasta-Cafe
262,120lyb-Cayeli-Pasta-Cafe
263,396ymn-Defne-Cay-Bahcesi
264,qq3nt2-Istanbull-Caf-Fal-Restaurant
265,ivlqei-Ga-ga-le-Et-Lokantasi
266,a7qk8v-Efendiler-Kulubu
267,pjaz21-Dinek-People-Coffee
268,nd4uu6-cafeteria-WE
269,u8ozsj-Doga-Kuzu-Tandir-Izgara
270,j45b2p-Caka-Cafe-Bistro
271,6b4axl-Dostlar-Kiraathanesi
272,vcheha-Goztepeliler-CAFFE
273,1lr220-Dogan-Tas-Firin
274,jvfzm0-haydi-gel-kahvalti-ve-mangal-evi
275,2agmyq-Cihan-Kardesler-Borekcisi
276,r74tbl-Gayret-Yemek
277,ra6eaj-Cafe-Vagon
278,o5ocq4-Ibo-Dayinin-Yeri
279,lcx3a9-Ibo-Osman-Semt-Pazari
280,bqcumg-Ekmekci
281,qo4pab-Izmitm-Kokorec
282,p0d2iw-Demirdag-Ekmek
283,i9oqop-Cafe-Park
284,5gls94-Firin-Istanbul
285,j3ild9-hayrettin-baba-asevi
286,12zwfb-FitCenter-Bistro-Clinic
287,i29bva-Faik-Bey-Konagi
288,1y1czi-Cigerci-Birbicer-Turkmenbasi
289,kj2h6v-Cafe-Sandino
290,xcmnr4-Chef-Cafe
291,15xj18-Gunaydin-Simit-Cafe
292,51xvgl-Freya-Cafe
293,7qrdxj-Firat-Cafe
294,amziqz-ersin-ET-PIRZOLA-ocakbasi-restaurant
295,j74mhg-Gokceli-Express
296,28uajo-Has-Firin
297,6yo87d-Fabricca-Break-Cafe
298,6ng8no-DSI-Setbasi-Tesisleri
299,a3i04o-Deniz-Cafe-Resatbey
300,wtw11y-cafe-teras-restorant-ocakbasi
301,qg0muz-GunEt
302,t6i15h-Doner-34-Sirinevler
303,8qe7a6-istasyon-ekmek-kiptas-avm
304,lw23wd-Gagaline-Cafe
305,57nt6u-Cremma-Cafe
306,lxlaj4-duacinar-unlu-mamulleri
307,aedixy-Delfino-Cafe
308,jjrxg6-Eryaman-Goksu-Parki
309,x0mxga-izmir-kumru-demirkopru
310,3p10ag-Dubai-Cafe-Sushi
311,e2swwa-Kofteci-Ayhan-babanin-yeri
312,v5pfzr-Ehli-Ciger
313,c67d17-Ejder-Pastanesi
314,ra54nm-Define-Ekmek-Firini
315,hptvyt-Figora-Pastanesi
316,54z3p6-Gumuspala-Cafe-Pasta
317,wtlplm-Hayal-Cafe
318,ib06pp-christines-caferestourant
319,m4w1kj-Elit-Cafe
320,7cmnib-Eyup-Sultan-Usta-Donerci
321,ggg4ay-Hookah-Egypt-Cafe
322,7spvx3-Ege-Pastanesi
323,t3r5la-Flour-Bucks-Cafe
324,c0xu3e-Canlar-Cafe
325,0lvlqe-Fethi-Doner-Salonu
326,obp23z-Jr-Kirmizi-Steak
327,acq4xa-Istah-Lezzet-Firini
328,2xifpt-Guzeltepe-Firini
329,7ddflj-Golbasi-Cay-Ocagi
330,v9zje7-Eskiden-Coffee
331,e03nt2-Gozde-Kafe
332,2hn5pz-Joker-Cafe
333,b9721x-can-biranesi-kanarya
334,hai8fb-Erciyes-Borek
335,riatzd-Gaziemir-Gevrek-Borek
336,sx47e3-Huner-Cafe-Unlu-Mamuller
337,o7ykea-Etik-et-Kasap-Izgara
338,18tgf3-Dc-Terrace-Steakhouse
339,6ftfch-ELIT-CAFE-RESTAURANT
340,rb7ebp-Elalem-Yeni-Nesil-Meyhane
341,0iv6du-Cumhuriyet-okey-salonu
342,oocypw-Gural-Premier-Restaurant
343,7hmy1q-Eray-Bufe
344,soxf5x-Can-Market-Cigkofte
345,mp8am1-Gulluoglu
346,9cb1cs-Crystal-Palace-Luxury-Resort-Main-Restaurant
347,xdpjg8-DOSTLAR-BUFE-CAFE
348,91zrv2-Garden-terrace-restaurant
349,zs4kd7-CafeSari
350,48yofm-Hazer-Cafe
351,bib0tw-Emniyettepe-Cay-Bahcesi
352,y1vawq-Cafee
353,vfoeg8-FSM-Karanfil-Nargile-Cafe
354,yc9wsa-Gunesli-Gulluoglu
355,9kw1vt-Golbasi-Cafes
356,kvo4jj-Gunaydin-Bufe-Fast-Food
357,5hfj5i-inegol-agac-isleri-sanayi-bali-bufe
358,zn8s3c-Haggar
359,rguqrv-Ipek-Firin-Unlu-Mamulleri
360,wdrrip-Dainty-Cafe
361,yry5o4-COFFEE-1949-Cukurambar
362,zpbckh-Gorgulu-Pastanesi
363,j44077-Dogan-Dayinin-Yeri
364,qwg7e0-Huqqa-Emirgan
365,wuzcoh-Dutlu-Bahce-Ogrenci-Kermesi
366,9jgple-Istasyon-1896
367,0mdj9d-Dokumun-yeri
368,dynj15-CELEP-VELININ-YERI-KARAINCIR-MOTEL-VE-RESTAURANT
369,yl4m43-Fatih-Cafe
370,ueta8i-Cumbali-Meyhanesi
371,nhce2a-Iskele-Cafe
372,m41tc5-IKEA-Exit-Cafe-Hotdog
373,v8n1vr-Hassan-Restaurant
374,ubrbms-Eliz-Pastane
375,mccxsw-Deniz-Cafe-Restaurant
376,utpb5w-cafeemania
377,hus6m4-David-People
378,5w2ym2-Cafe-Plus
379,k2ixtp-Gelins-Cafe
380,kxeeb9-Ev-di-Cafe
381,bgitic-Etbaz-Steak-House
382,73xxkn-crepeSY-by-France
383,o1aw43-Damla-Pide-Ve-Lahmacun-Firini
384,xjr5ld-Firinci-Orhan
385,xwfgnf-DONERCI-TURGAY
386,1b8zb8-Haci-Nefisoglu
387,7g703d-Ela-Bufe-Fast-food
388,313h2z-Harrison-Cafe
389,gmset6-Goztepe-Komsu-Firin
390,dq6amt-Defne-Kebap-ve-Yemek-Salonu
391,o9ln8k-Chalplin-Cafe-restourant
392,e1nizg-Etna-Bistro
393,lv4jzu-D-CAFE
394,rjve1t-GumusBey-Iskender
395,fy5e76-Hisaroglu-Cafe
396,adsyyo-Hisar-Lokantasi
397,6cib1o-hizmet-pide-ve-borek
398,zmn62s-Guven-Pastanesi
399,ig0lf4-DEMIR-ET
400,4g30rv-ELIF-HNM-SIMIT-FIRINI-KAHVALTI-SALONU
401,wjwb8b-EKIZLER-PIDE-Kupluce-Beylerbeyi
402,k2nm3j-Golzo
403,q14kk6-Dikelyas-Cafe
404,98zmid-Emek-Ekmek-Fabrikasi
405,be0p52-Greenport-Bar
406,esd3ua-Eski-Halk-Ekmek
407,bpe15u-Hokkabaz-Cafe-Restaurant
408,9kwzd5-Gumus-Cafe
409,yn6d17-Derya-Bufe
410,zapbf3-hayal-cafe
411,50t74v-Dilek-Pastanesi
412,sbx7sg-Hacioglu-Bufe
413,kk6uff-Kofteci-Ali
414,9upzj9-Canteen-35-Cafe
415,2go3zu-Halilin-Yeri
416,n1lr0g-gurhanin-kahvede
417,mugidh-Elit-Cafe
418,fei7iz-Geyik-Cafe
419,vw8cuq-Emirgan-Aile-Cay-Bahcesi
420,06v1er-Ibobo-Kebap
421,h47nc9-Elifli-Pastanesi
422,epe4lf-Defne-Ekmek
423,hu59vj-Deli-Kizin-Yeri
424,xz1o1t-Chilakka-Restaurant-Cukurova-Lezzetleri
425,x2u3rr-Clavis
426,prj7i2-eminenin-yeri-gozleme-evi
427,zw1ik8-Cag-Kebap-Salonu-Tatarin-Yeri
428,2awy0d-Gurel-Pide
429,7ttz0s-Emice-Izgara-Kofteci-Hasan
430,twehzr-Gultad-Pastanesi
431,g6e6gv-Kofteci-Ikoncan
432,dtyxs6-Club-Resort-Atlantis-Hotel-Restaurant
433,dc1zjj-Hookah-Terrace-Coffe
434,fcpsyn-Ehli-Gozleme-Evi
435,vjjh62-Hacet-Bayrami
436,0tlkdm-Hopalilar-Dernegi
437,q05daz-Hanimeli-Cafe-Ev-Yemekleri
438,xl2rm8-Edificus
439,aiwr67-DEFNE-gozleme-ve-Et-Mangal-Evi
440,9y62m5-Ege-Sini
441,nhfk9z-Habibler-Koftecisi
442,v5jyux-Geek-Coffee-Shop-Gaziantep
443,vyyp64-Dival-Tasfirin
444,hnx6nm-ezel-pasta-cafe
445,en4juf-Han-Kafe-Sube
446,jd16o0-Dortler-Restaurant
447,3p10r6-ikram-cafe
448,efg4th-Jeoloji-Muhendisleri-Odasi-Sosyal-Tesisler
449,9owva5-Garipcekoliva
450,45qd5f-Evvel-Kahve
451,7ih0sj-Elvankent-Firinci-Orhan
452,wjln9o-dolpin
453,3e2vn1-Gonul-Kahvesi
454,l4vimw-Huseyinli-Koyu-Kahvesi
455,2b5bp0-Galata-Istanbul-Firin-Pasta-Cafe
456,2b7w71-Cansu-Cafe
457,bm4v4z-Cafe-VM
458,m0b0te-IKRAM-PIDE-VE-LAHMACUN-FIRINI
459,pk2485-Disbudak-Etliekmek-Salonu
460,avyvzi-Cevizli-gida
461,6skxpo-Extrem-Cafe-Lounge
462,0ic8a6-cafes-cafe-restorant-Market
463,0vm4iy-Istanbul-Kokorec
464,5myyjg-Gedikpasa-Bufe
465,a1ntbr-Divan-Patisserie
466,f14ci4-Felisa-Floral-Cafe
467,gphuos-Izzzgara-Kasap
468,6ajdlg-Garden-Cafe-Restaurant
469,4kf3k7-Ikbal-Restorant
470,uu4xu0-Cafe-sentez
471,qy85lb-CafeM
472,7jstr5-Hunkar-Cadiri-Restorant-Serpme-Kahvalti
473,das96w-DOGAYLA-IC-ICE-VILLAGE-CAFE
474,mvm98r-Doga-Cafe-Resataurant
475,85fv6b-EKOO-CAFETERIA
476,3vcshf-Kofte-Gurmesi
477,0p1caj-Canli-Bufe
478,t6lyxg-Cafe-Station
479,sog4i1-Ceylan-Pinar-Restaurant
480,d1xgxm-CafeS
481,p9zteu-Cemo-Kokorec
482,r6hme9-Farfara-Cafe-Bistro
483,v5cswd-Dondurmaci-Basi
484,ud8x8u-Dallas-Izgara-Et-Urunleri
485,eht947-Feneralti-Kafe-Restaurant
486,7cxdck-Ege-Universitesi-Lokali
487,d188bz-Cigerim-Cizbiz-by-antepli
488,k4fsxy-Dusler-Kahvesi
489,p1nfjc-Hayal-Kafe-ve-Kahvalti-Salonu
490,g3ko5z-Ekrem-Usta-Kendin-Pisir-Kendin-Ye
491,se79yu-Dostlar-Kasap-Ve-Et-Mangal
492,9685j2-Gato-Firin-Cafe-Bistro
493,eeif1f-Happy-Moons
494,4fa2ke-Cafe-Ti
495,n7tc0g-Elem-restoran
496,rqqcdp-Firezza-Cafe-Bistro
497,yvkspp-Divan-Restaurant
498,ry9949-Doctors-Cafe
499,pwmrsr-hemdem-cay-nargile-evi
500,v42x42-denizati-GARDEN-ET-MANGAL-CAFE-BISTRO
501,s9yewt-InceKeyf
502,kug8qq-Gorele-Et-Mangal
503,jl8xdr-Gurbuz-Etliekmek
504,dmb650-Elif-Cafe-Firin
505,csrohu-Inkaya-Selale-Cafe-Restaurant
506,11bwvj-Firinci-Pasta-Cafe
507,d5gwg5-Helvaci-Grup-Plaza-Bursa-Kebap-Evi
508,hihyqq-Farkli-cafe-beach-clup
509,rsov7p-Ifil-Muktar-Sofrasi
510,e1aetu-Foca-Midyecisi-Nevzat-Usta
511,i73g3b-Jim-Carrey
512,jewib2-Inceden-Lezzet
513,qu4wt7-enistenin-yeri
514,gtuk23-Cheers-Light-House
515,7r3l85-Cigerci-Yakup
516,hhvw4d-Evka-3-Gurme
517,hf1xvy-I-B-B-Kurban-Satis-ve-Kesim-Merkezi
518,5lopph-Clock-Cafe
519,fj154z-Firdevs-Restaurant
520,xsznpq-Hurriyet-Dunyasi-la-carte
521,gxvee4-Cafe-Pera
522,s5fgk2-Kofteci-By-Yilmaz
523,mxnk15-Diamond-Premium-Restaurant
524,uwrws2-Candan-Pastanesi
525,8ig69d-Eski-Agora-Meyhanesi
526,xw0w1h-Galatabodrum
527,qgjbal-Gonul-Kahvesi
528,bvf160-Erciyes-Borek
529,lzvn73-Cafe-Schneider
530,5qz44y-Fatihin-Kahve
531,sigijk-dere-sokagi-azdin-bufe
532,48db76-CimCim-Manti
533,lm60ds-Han-Kebab-Kahvalti-Salonu
534,5my92g-De-Sarj-Teppenyaki
535,dzitvj-Josephn-Cafe
536,qlhvwo-Ikram-Borek-Adnan-Usta
537,qexkih-Glaros-Cafe
538,mee4aa-Cumhuriyet-Lezzet-Dunyasi-Halimbey-Restoran
539,k7dite-Halimbey
540,6yml23-hanedan-restaurant-park
541,tqwc9y-Durak-Bufe
542,hjdjiz-Hayal-Cafe
543,meti31-GEBIZLI-SADETTIN-TIBIK-ETLI-PIDE-SALONU
544,ega6ow-HAZZAN-ETLIEKMEK
545,z5f5br-Hisar-Cag-Kebap-Pide-Lahmacun-salonu
546,epxy98-Durak-Cafe
547,ti36u5-Hoopbala
548,054aqd-Iskoop-Cafe
549,tvs5zr-coskun-bufe
550,5aq24f-Ehl-i-Keyf
551,xli66b-Kosebasi-Kofteci
552,fmz6rn-Dodos-Cafe
553,jm8ukl-Fulya-Teras
554,qf29le-Jungle-Lounge
555,k1v6h5-Ecrin-Cafe
556,lyopyv-Ikizler-Cafe-Bufe
557,5hwlp9-Cafe-miz
558,p67tjr-gultekin-kasap
559,fll113-Cihannuma
560,3seza0-Feyzi-Keyf-Cafe-ve-Restaurant
561,h7rl2d-Coffe-in-Jonas-Brothers
562,rop7fg-Deli-Kasap
563,1xjyh4-Guzelcefener-Anadolu-Feneri
564,iu56at-Hacinin-Yeri
565,sw75y5-Dedo-Kofte
566,pxnzml-Huzur-Cay-Salonu
567,gxyy4u-Devran-Kebap
568,egn8dg-Harman-Pide-Lahmacun-Salonu
569,mda6s1-ipek-lokanta
570,gmd92b-Cafe29-Gumushanelilerin-Yeri
571,yedqcs-Kosem-Restaurant-Lahmacun
572,810xlc-Cafenoz
573,0nzq90-Emirsultan-cay-evi
574,ndmwuy-Gol-Cafe
575,i9c5c6-Enerji-Kafe
576,gip0l5-CheckIn
577,lyhmr9-Gul-Nane
578,ihq9fa-gul-mantievi
579,ioej93-HANCI-Ocakbasi-Et-Restaurant
580,88paef-Guloglu-Kastamonu-Kir-Pidesi-Salonu
581,3qozed-Cemal-Katpanin-Yeri-Teknede-Balik
582,klyhhx-Cafe-Yer6
583,y317t5-Ekpa-Cafe
584,p7crtx-Cennet-Vadisi-Ozayin-Yeri
585,ekepek-Filika-Meyhane
586,m37xzx-Furkan-Lokantasi
587,qcm3t5-Derya-Sini-Kafe-Restaurant
588,ymtju9-Dicle-Kebap
589,byxjoe-Dejavu-Cafe
590,8mmjdr-Ezo-Mangalbasi
591,uitkn7-Dort-Kardesler-Pastanesi
592,z63nkh-Damga-Cigkofte
593,s3cgl1-Doga-Cay-Bahcesi
594,y7y7er-Imrahor-Kofte
595,fbqzwl-Emarr-Square-Mall-Cicek-Izgara
596,8cam0f-Can-Can-Kofte
597,2radd2-Ekin-Cafe-Restaurant
598,cye29c-Kose-Mekan
599,xy0psl-Ihlamur-Cafe
600,4wkhnh-Crystal-Sunrise-Fish-Restaurant
601,800p4u-Durmaz-Alabalik-ciftligi
602,l9mbon-Hatice-Teyzenin-Mekani
603,zxmbnd-Kofteci-Huseyin
604,md7tpy-FTD-Fenerbahce-Taraftarlar-Dernegi
605,43oaap-campus-cafe
606,3wg0ga-Cassis-Cafe
607,292zlw-Degirmen-Cafe-Patisserie
608,2a125v-Gedevet-Restaurant
609,fc6ql9-Istanbul-Kebabcisi-Recep-Usta
610,3280cx-Eray-Bufe
611,0v909u-canlar-pide-kebab-salonu
612,yxmx7l-Erciyes-Baklava-Borek
613,hc7k34-Harma-Cafe-Bistro
614,k3jdly-Golet-Etland
615,hqhus3-Elmali-Sisci-Omerin-Yeri
616,pxfkar-Febiha
617,m4w3rv-eyupsultan-mahalesi-kismet-pide-lahmacun
618,hepv71-Filiya-Nargile-Cafe-Restaurant
619,vchqom-Eski-Bahce-Cafe
620,gjzu8m-Hub-Coffe-Kitchen
621,6iktya-Donerci-Abi
622,gj7tt8-Ilkbahar-Doner
623,8041dh-Helva-Emirgan
624,2hmkmw-Kofteci-Alakova
625,1s1lvq-gul-ocakbasi
626,h9fq37-Durumcu-Recep-Ustaa
627,5rpp16-Hasanaga-Ekmek-Firini
628,9bql6i-Haydee-Pide-Ye-Karadeniz-Mutfagi
629,rr9s6m-Gloria-Jeans-Coffees
630,rz9afe-iso-cafe-nargile
631,ojapq9-DAMLA-CAFE
632,japxca-Club-Hotel-Phaselis-Selcuklu-Restaurant
633,32vbrp-Ex-Room
634,9je2x7-HAZNEDAR-SEHRIGUL-CAFE
635,xuii7t-Elmali-Cantik
636,mjgtvj-Duru-Sikma-Ve-Gozleme-Evi
